"1","win a free macbook s f ameer do good* have good* keep smiling * alway guys","Win A Free MacBook!💻💻 #Halloween @$s!f$ameer.:Do Good* Have Good* keep smiling * Alway  https://t.co/Ygx9n9Whwo guys https://t.co/nhMVZFpBqy","#halloween"
"2","win a free macbook adham mahmoud","Win A Free MacBook!💻💻 #Halloween Adham Mahmoud:  https://t.co/kBMksEP9vP","#halloween"
"3","win a free macbook carolina bla2k","Win A Free MacBook!💻💻 #Halloween CAROLINA BLA2K:  https://t.co/OY2DYrVyJm https://t.co/9KDrtvv1B9","#halloween"
"4","amas kyliejenner graysondolan graysondolan cam justinbieber bieber justinbieber follow me","❤#AMAs ❤ #halloween #KylieJenner ♡ ♡#graysondolan  #graysondolan #cam #justinbieber #Bieber @JustinBieber follow me https://t.co/PdlkjdazXT","#halloween"
"5","hero astronaut and former senator john glenn dies at 95 socialdome","#halloween Hero Astronaut and Former Senator John Glenn Dies at 95 https://t.co/stZHpLIRyp #socialdome https://t.co/MBKAOeif7F","#halloween"
"6","hamilton cast s mike pence address was a war cry says walking dead star danai gurira","#halloween Hamilton Cast’s Mike Pence Address Was ‘a War Cry,’ Says Walking Dead Star Danai Gurira… https://t.co/je2MuFpdAg","#halloween"
"7","chris pratt jennifer aniston and more actors reveal their dream roles","#halloween Chris Pratt, Jennifer Aniston and More Actors Reveal Their Dream Roles https://t.co/90N4m1048Q… https://t.co/5t0q6mHvoS","#halloween"
"8","kourtney kardashian makes these christmas cookies with her kids every year","#halloween Kourtney Kardashian Makes These Christmas Cookies with Her Kids ‘Every Year’ https://t.co/2zwjfmAxFT… https://t.co/GGwBTpiGq7","#halloween"
"9","7 underrated holiday movie characters that deserve a moment to shine socialdome","#halloween 7 Underrated Holiday Movie Characters That Deserve a Moment to Shine https://t.co/6WZKs9B8eU #socialdome https://t.co/Q7xAVH9BOA","#halloween"
"10","5 things you need to know before you give a pet as a present socialdome","#halloween 5 Things You Need to Know Before You Give a Pet as a Present https://t.co/vYvDNWbhtW #socialdome https://t.co/UJ6rbFX2oY","#halloween"
"11","madonna takes her rebel heart on the road in new sneak from the upcoming tour documentary","#halloween Madonna Takes Her ‘Rebel Heart’ on the Road In New Sneak From the Upcoming Tour Documentary… https://t.co/ubaV3mfSlA","#halloween"
"12","screamin' jay hawkins - i put a spell on you nowplaying on onair","Screamin' Jay Hawkins - I put a spell on you #nowplaying on https://t.co/0uCbqzo3hV #onair #halloween","#halloween"
"13","insted of sweets ill be givin chicken nuggets trickortreat","Insted of sweets ill be givin chicken nuggets #TrickOrTreat #Halloween","#halloween"
"14","super cute halloweencostumes for kids rt halloweenblur { 5 off orders of 65}","Super Cute #HalloweenCostumes For Kids https://t.co/SK4rZ7gZwE RT @HalloweenBlur {$5 off orders of $65} #halloween https://t.co/HaQypfbiEd","#halloween"
"15","batman mask super hero batman mask party costume cosplay child toy onsale discount","#Batman #Mask Super Hero Batman Mask Party #Costume #Cosplay Child Toy #Halloween https://t.co/fjW8kUARC6 #onsale #Discount","#halloween"
"16","no idea for a caption amas kyliejenner graysondolan justinbieber bieber justinbieber follow me","No idea for a caption#AMAs ❤ #halloween #KylieJenner ♡ ♡#graysondolan #justinbieber #Bieber @JustinBieber follow me https://t.co/DcNt06jCkk","#halloween"
"17","get your started right with some paranormal romance","Get your #Halloween started right with some #Paranormal #Romance
https://t.co/l8Kdx3yXhn https://t.co/xmHIUk0Cfm","#halloween"
